samplename,Layer,plot,block,plant.type,Warm,Precip1,Precip2,combined_treat1
YD1L1,L1,P1,B1,TS,unwarming,elevated precip,normal precip,EP
YD1L2,L2,P1,B1,TS,unwarming,elevated precip,normal precip,EP
YD1L3,L3,P1,B1,TS,unwarming,elevated precip,normal precip,EP
YD1L4,L4,P1,B1,TS,unwarming,elevated precip,normal precip,EP
YD16L1,L1,P16,B1,TS,warming,normal precip,normal precip,W
YD16L2,L2,P16,B1,TS,warming,normal precip,normal precip,W
YD16L3,L3,P16,B1,TS,warming,normal precip,normal precip,W
YD16L4,L4,P16,B1,TS,warming,normal precip,normal precip,W
YD17L1,L1,P17,B1,TS,unwarming,normal precip,normal precip,C
YD17L2,L2,P17,B1,TS,unwarming,normal precip,normal precip,C
YD17L3,L3,P17,B1,TS,unwarming,normal precip,normal precip,C
YD17L4,L4,P17,B1,TS,unwarming,normal precip,normal precip,C
YD18L1,L1,P18,B1,TS,warming,elevated precip,normal precip,WEP
YD18L2,L2,P18,B1,TS,warming,elevated precip,normal precip,WEP
YD18L3,L3,P18,B1,TS,warming,elevated precip,normal precip,WEP
YD18L4,L4,P18,B1,TS,warming,elevated precip,normal precip,WEP
YD2L1,L1,P2,B1,TS,warming,normal precip,reduced precip,WRP
YD2L2,L2,P2,B1,TS,warming,normal precip,reduced precip,WRP
YD2L3,L3,P2,B1,TS,warming,normal precip,reduced precip,WRP
YD2L4,L4,P2,B1,TS,warming,normal precip,reduced precip,WRP
YD22L1,L1,P22,B2,TS,unwarming,elevated precip,normal precip,EP
YD22L2,L2,P22,B2,TS,unwarming,elevated precip,normal precip,EP
YD22L3,L3,P22,B2,TS,unwarming,elevated precip,normal precip,EP
YD22L4,L4,P22,B2,TS,unwarming,elevated precip,normal precip,EP
YD23L1,L1,P23,B2,TS,warming,normal precip,normal precip,W
YD23L2,L2,P23,B2,TS,warming,normal precip,normal precip,W
YD23L3,L3,P23,B2,TS,warming,normal precip,normal precip,W
YD23L4,L4,P23,B2,TS,warming,normal precip,normal precip,W
YD24L1,L1,P24,B2,TS,unwarming,normal precip,normal precip,C
YD24L2,L2,P24,B2,TS,unwarming,normal precip,normal precip,C
YD24L3,L3,P24,B2,TS,unwarming,normal precip,normal precip,C
YD24L4,L4,P24,B2,TS,unwarming,normal precip,normal precip,C
YD3L1,L1,P3,B1,TS,unwarming,normal precip,reduced precip,RP
YD3L2,L2,P3,B1,TS,unwarming,normal precip,reduced precip,RP
YD3L3,L3,P3,B1,TS,unwarming,normal precip,reduced precip,RP
YD3L4,L4,P3,B1,TS,unwarming,normal precip,reduced precip,RP
YD31L1,L1,P31,B2,TS,warming,normal precip,reduced precip,WRP
YD31L2,L2,P31,B2,TS,warming,normal precip,reduced precip,WRP
YD31L3,L3,P31,B2,TS,warming,normal precip,reduced precip,WRP
YD31L4,L4,P31,B2,TS,warming,normal precip,reduced precip,WRP
YD32L1,L1,P32,B2,TS,unwarming,normal precip,reduced precip,RP
YD32L2,L2,P32,B2,TS,unwarming,normal precip,reduced precip,RP
YD32L3,L3,P32,B2,TS,unwarming,normal precip,reduced precip,RP
YD32L4,L4,P32,B2,TS,unwarming,normal precip,reduced precip,RP
YD33L1,L1,P33,B2,TS,warming,elevated precip,normal precip,WEP
YD33L2,L2,P33,B2,TS,warming,elevated precip,normal precip,WEP
YD33L3,L3,P33,B2,TS,warming,elevated precip,normal precip,WEP
YD33L4,L4,P33,B2,TS,warming,elevated precip,normal precip,WEP
YD43L1,L1,P43,B3,TS,unwarming,normal precip,reduced precip,RP
YD43L2,L2,P43,B3,TS,unwarming,normal precip,reduced precip,RP
YD43L3,L3,P43,B3,TS,unwarming,normal precip,reduced precip,RP
YD43L4,L4,P43,B3,TS,unwarming,normal precip,reduced precip,RP
YD44L1,L1,P44,B3,TS,warming,normal precip,reduced precip,WRP
YD44L2,L2,P44,B3,TS,warming,normal precip,reduced precip,WRP
YD44L3,L3,P44,B3,TS,warming,normal precip,reduced precip,WRP
YD44L4,L4,P44,B3,TS,warming,normal precip,reduced precip,WRP
YD45L1,L1,P45,B3,TS,unwarming,normal precip,normal precip,C
YD45L2,L2,P45,B3,TS,unwarming,normal precip,normal precip,C
YD45L3,L3,P45,B3,TS,unwarming,normal precip,normal precip,C
YD45L4,L4,P45,B3,TS,unwarming,normal precip,normal precip,C
YD46L1,L1,P46,B3,TS,warming,normal precip,normal precip,W
YD46L2,L2,P46,B3,TS,warming,normal precip,normal precip,W
YD46L3,L3,P46,B3,TS,warming,normal precip,normal precip,W
YD46L4,L4,P46,B3,TS,warming,normal precip,normal precip,W
YD47L1,L1,P47,B3,TS,unwarming,elevated precip,normal precip,EP
YD47L2,L2,P47,B3,TS,unwarming,elevated precip,normal precip,EP
YD47L3,L3,P47,B3,TS,unwarming,elevated precip,normal precip,EP
YD47L4,L4,P47,B3,TS,unwarming,elevated precip,normal precip,EP
YD48L1,L1,P48,B3,TS,warming,elevated precip,normal precip,WEP
YD48L2,L2,P48,B3,TS,warming,elevated precip,normal precip,WEP
YD48L3,L3,P48,B3,TS,warming,elevated precip,normal precip,WEP
YD48L4,L4,P48,B3,TS,warming,elevated precip,normal precip,WEP
